version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3,4096,2,2,13941282746,24583963,0.176,25.878462,12.298
reordered_tiling_v3,4096,2,4,11797558215,78922688,0.669,27.623526,11.521
reordered_tiling_v3,4096,2,8,10707853888,74431422,0.695,29.023801,10.966
reordered_tiling_v3,4096,4,1,13960308689,512249345,3.669,32.511887,9.789
reordered_tiling_v3,4096,4,2,9645077882,379089068,3.93,25.300941,12.579
reordered_tiling_v3,4096,4,4,7494370194,206004132,2.749,36.66367,8.681
reordered_tiling_v3,4096,4,8,15008940202,157409096,1.049,40.858589,7.789
reordered_tiling_v3,4096,8,1,11855506002,6008864249,50.684,154.424844,2.061
reordered_tiling_v3,4096,8,2,7525717459,2995777000,39.807,101.554171,3.134
reordered_tiling_v3,4096,8,4,18279289810,3680329368,20.134,165.875754,1.919
reordered_tiling_v3,4096,8,8,17163977064,962268500,5.606,58.618404,5.429
reordered_tiling_v3,4096,16,1,16217841420,8797967579,54.249,342.235509,0.93
reordered_tiling_v3,4096,16,2,11310144829,4346899525,38.434,173.989343,1.829
reordered_tiling_v3,4096,16,4,16382376676,2270502129,13.859,107.4703,2.961
reordered_tiling_v3,4096,16,8,18914017432,1223659397,6.47,71.970235,4.422
reordered_tiling_v3,4096,2,1/2,26887587651,110363576,0.41,49.606394,6.416
reordered_tiling_v3,4096,4,1/2,22588792173,624558063,2.765,49.391247,6.444
reordered_tiling_v3,4096,8,1/2,20526395600,11930432768,58.122,294.150447,1.082
reordered_tiling_v3,4096,16,1/2,30319772239,17191538060,56.701,650.573221,0.489
