version,size,kernel,lmul,unroll,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3_unrolling,2048,4,4,16,1066695322,25800739,2.419,4.86114,8.411
reordered_tiling_v3_unrolling,4096,4,4,1,7494370194,206004132,2.749,36.66367,8.681
reordered_tiling_v3_unrolling,4096,4,4,2,7493152277,207600856,2.771,35.66285,8.924
reordered_tiling_v3_unrolling,4096,4,4,4,7493878217,205427411,2.741,36.40087,8.743
reordered_tiling_v3_unrolling,4096,4,4,8,7493345955,205761084,2.746,36.83031,8.641
reordered_tiling_v3_unrolling,4096,4,4,16,7493679289,203078238,2.71,37.198,8.556
reordered_tiling_v3_unrolling,256,4,8,1,7700685,30412,0.395,0.0079,10.045
reordered_tiling_v3_unrolling,256,4,8,2,7699898,29126,0.378,0.00845,9.391
reordered_tiling_v3_unrolling,256,4,8,4,7713508,31407,0.407,0.00872,9.1
reordered_tiling_v3_unrolling,256,4,8,8,7708267,31900,0.414,0.00856,9.27
reordered_tiling_v3_unrolling,256,4,8,16,7716416,31929,0.414,0.0088,9.017
reordered_tiling_v3_unrolling,512,4,8,1,43706867,108712,0.249,0.05746,10.811
reordered_tiling_v3_unrolling,512,4,8,2,43721212,116070,0.265,0.06109,10.168
reordered_tiling_v3_unrolling,512,4,8,4,43735587,166263,0.38,0.07027,8.84
reordered_tiling_v3_unrolling,512,4,8,8,43750267,170042,0.389,0.06991,8.886
reordered_tiling_v3_unrolling,512,4,8,16,43767221,130240,0.298,0.06628,9.372
reordered_tiling_v3_unrolling,1024,4,8,1,283338656,1545278,0.545,0.61799,8.388
reordered_tiling_v3_unrolling,1024,4,8,2,283404537,1577962,0.557,0.64122,8.084
reordered_tiling_v3_unrolling,1024,4,8,4,283421041,1694306,0.598,0.6694,7.744
reordered_tiling_v3_unrolling,1024,4,8,8,283521481,1738725,0.613,0.67808,7.645
reordered_tiling_v3_unrolling,1024,4,8,16,283439985,1709934,0.603,0.67823,7.643
reordered_tiling_v3_unrolling,2048,4,8,1,2005918201,20121410,1.003,5.10384,8.011
reordered_tiling_v3_unrolling,2048,4,8,2,2005979906,19824572,0.988,5.15437,7.933
reordered_tiling_v3_unrolling,2048,4,8,4,2006293077,23457189,1.169,5.57471,7.334
reordered_tiling_v3_unrolling,2048,4,8,8,2006298753,22518483,1.122,5.57642,7.332
reordered_tiling_v3_unrolling,2048,4,8,16,2006410959,23213683,1.157,5.52414,7.402
reordered_tiling_v3_unrolling,4096,4,8,1,15008940202,157409096,1.049,40.85859,7.789
reordered_tiling_v3_unrolling,4096,4,8,2,15009344366,154746663,1.031,40.81946,7.797
reordered_tiling_v3_unrolling,4096,4,8,4,15011909877,183438652,1.222,44.79546,7.105
reordered_tiling_v3_unrolling,4096,4,8,8,15011548045,176377558,1.175,44.71066,7.118
reordered_tiling_v3_unrolling,4096,4,8,16,15011977620,182389882,1.215,45.16868,7.046
reordered_tiling_v3_unrolling,256,8,8,1,8234260,28285,0.344,0.00907,8.749
reordered_tiling_v3_unrolling,256,8,8,2,8493882,42769,0.504,0.00967,8.206
reordered_tiling_v3_unrolling,256,8,8,4,8368763,41596,0.497,0.01193,6.651
reordered_tiling_v3_unrolling,256,8,8,8,8298621,29879,0.36,0.01091,7.273
reordered_tiling_v3_unrolling,256,8,8,16,8302020,39145,0.472,0.01147,6.918
reordered_tiling_v3_unrolling,512,8,8,1,47928619,199009,0.415,0.08183,7.591
reordered_tiling_v3_unrolling,512,8,8,2,50058282,207403,0.414,0.07841,7.922
reordered_tiling_v3_unrolling,512,8,8,4,49003388,194470,0.397,0.08888,6.989
reordered_tiling_v3_unrolling,512,8,8,8,48492123,197174,0.407,0.09315,6.669
reordered_tiling_v3_unrolling,512,8,8,16,48430856,199133,0.411,0.08828,7.037
reordered_tiling_v3_unrolling,1024,8,8,1,316987865,3928133,1.239,0.76018,6.819
reordered_tiling_v3_unrolling,1024,8,8,2,333810000,3824779,1.146,0.75297,6.884
reordered_tiling_v3_unrolling,1024,8,8,4,325564154,3865670,1.187,0.863,6.007
reordered_tiling_v3_unrolling,1024,8,8,8,321276663,4168303,1.297,0.87997,5.891
reordered_tiling_v3_unrolling,1024,8,8,16,321019527,4056778,1.264,0.83569,6.203
reordered_tiling_v3_unrolling,2048,8,8,1,2275625901,120643611,5.302,7.26696,5.626
reordered_tiling_v3_unrolling,2048,8,8,2,2410922618,114496871,4.749,7.43486,5.499
reordered_tiling_v3_unrolling,2048,8,8,4,2352250002,108624615,4.618,8.14643,5.019
reordered_tiling_v3_unrolling,2048,8,8,8,2309547030,117328277,5.08,8.26726,4.946
reordered_tiling_v3_unrolling,2048,8,8,16,2311541702,112877858,4.883,7.96867,5.131
reordered_tiling_v3_unrolling,4096,8,8,1,17163977064,962268500,5.606,58.6184,5.429
reordered_tiling_v3_unrolling,4096,8,8,2,18245354135,913969619,5.009,60.2391,5.283
reordered_tiling_v3_unrolling,4096,8,8,4,17704861105,860801124,4.862,65.1572,4.885
reordered_tiling_v3_unrolling,4096,8,8,8,17435952018,936869685,5.373,67.02887,4.748
reordered_tiling_v3_unrolling,4096,8,8,16,17418000173,897460935,5.152,64.19353,4.958
