version,size,kernel,lmul,unroll,l1d-load,l1d-misses,cachemiss-rate,time,speedup
reordered_tiling_v3_unrolling,2048,4,4,16,1066695322,25800739,2.419,4.86114,1.006
reordered_tiling_v3_unrolling,4096,4,4,1,7494370194,206004132,2.749,36.66367,1.0
reordered_tiling_v3_unrolling,4096,4,4,2,7493152277,207600856,2.771,35.66285,1.028
reordered_tiling_v3_unrolling,4096,4,4,4,7493878217,205427411,2.741,36.40087,1.007
reordered_tiling_v3_unrolling,4096,4,4,8,7493345955,205761084,2.746,36.83031,0.995
reordered_tiling_v3_unrolling,4096,4,4,16,7493679289,203078238,2.71,37.198,0.986
reordered_tiling_v3_unrolling,256,4,8,1,7700685,30412,0.395,0.0079,0.999
reordered_tiling_v3_unrolling,256,4,8,2,7699898,29126,0.378,0.00845,0.934
reordered_tiling_v3_unrolling,256,4,8,4,7713508,31407,0.407,0.00872,0.906
reordered_tiling_v3_unrolling,256,4,8,8,7708267,31900,0.414,0.00856,0.922
reordered_tiling_v3_unrolling,256,4,8,16,7716416,31929,0.414,0.0088,0.897
reordered_tiling_v3_unrolling,512,4,8,1,43706867,108712,0.249,0.05746,1.0
reordered_tiling_v3_unrolling,512,4,8,2,43721212,116070,0.265,0.06109,0.941
reordered_tiling_v3_unrolling,512,4,8,4,43735587,166263,0.38,0.07027,0.818
reordered_tiling_v3_unrolling,512,4,8,8,43750267,170042,0.389,0.06991,0.822
reordered_tiling_v3_unrolling,512,4,8,16,43767221,130240,0.298,0.06628,0.867
reordered_tiling_v3_unrolling,1024,4,8,1,283338656,1545278,0.545,0.61799,1.0
reordered_tiling_v3_unrolling,1024,4,8,2,283404537,1577962,0.557,0.64122,0.964
reordered_tiling_v3_unrolling,1024,4,8,4,283421041,1694306,0.598,0.6694,0.923
reordered_tiling_v3_unrolling,1024,4,8,8,283521481,1738725,0.613,0.67808,0.911
reordered_tiling_v3_unrolling,1024,4,8,16,283439985,1709934,0.603,0.67823,0.911
reordered_tiling_v3_unrolling,2048,4,8,1,2005918201,20121410,1.003,5.10384,1.0
reordered_tiling_v3_unrolling,2048,4,8,2,2005979906,19824572,0.988,5.15437,0.99
reordered_tiling_v3_unrolling,2048,4,8,4,2006293077,23457189,1.169,5.57471,0.916
reordered_tiling_v3_unrolling,2048,4,8,8,2006298753,22518483,1.122,5.57642,0.915
reordered_tiling_v3_unrolling,2048,4,8,16,2006410959,23213683,1.157,5.52414,0.924
reordered_tiling_v3_unrolling,4096,4,8,1,15008940202,157409096,1.049,40.85859,1.0
reordered_tiling_v3_unrolling,4096,4,8,2,15009344366,154746663,1.031,40.81946,1.001
reordered_tiling_v3_unrolling,4096,4,8,4,15011909877,183438652,1.222,44.79546,0.912
reordered_tiling_v3_unrolling,4096,4,8,8,15011548045,176377558,1.175,44.71066,0.914
reordered_tiling_v3_unrolling,4096,4,8,16,15011977620,182389882,1.215,45.16868,0.905
reordered_tiling_v3_unrolling,256,8,8,1,8234260,28285,0.344,0.00907,1.0
reordered_tiling_v3_unrolling,256,8,8,2,8493882,42769,0.504,0.00967,0.938
reordered_tiling_v3_unrolling,256,8,8,4,8368763,41596,0.497,0.01193,0.76
reordered_tiling_v3_unrolling,256,8,8,8,8298621,29879,0.36,0.01091,0.831
reordered_tiling_v3_unrolling,256,8,8,16,8302020,39145,0.472,0.01147,0.79
reordered_tiling_v3_unrolling,512,8,8,1,47928619,199009,0.415,0.08183,1.0
reordered_tiling_v3_unrolling,512,8,8,2,50058282,207403,0.414,0.07841,1.044
reordered_tiling_v3_unrolling,512,8,8,4,49003388,194470,0.397,0.08888,0.921
reordered_tiling_v3_unrolling,512,8,8,8,48492123,197174,0.407,0.09315,0.878
reordered_tiling_v3_unrolling,512,8,8,16,48430856,199133,0.411,0.08828,0.927
reordered_tiling_v3_unrolling,1024,8,8,1,316987865,3928133,1.239,0.76018,1.0
reordered_tiling_v3_unrolling,1024,8,8,2,333810000,3824779,1.146,0.75297,1.01
reordered_tiling_v3_unrolling,1024,8,8,4,325564154,3865670,1.187,0.863,0.881
reordered_tiling_v3_unrolling,1024,8,8,8,321276663,4168303,1.297,0.87997,0.864
reordered_tiling_v3_unrolling,1024,8,8,16,321019527,4056778,1.264,0.83569,0.91
reordered_tiling_v3_unrolling,2048,8,8,1,2275625901,120643611,5.302,7.26696,1.0
reordered_tiling_v3_unrolling,2048,8,8,2,2410922618,114496871,4.749,7.43486,0.977
reordered_tiling_v3_unrolling,2048,8,8,4,2352250002,108624615,4.618,8.14643,0.892
reordered_tiling_v3_unrolling,2048,8,8,8,2309547030,117328277,5.08,8.26726,0.879
reordered_tiling_v3_unrolling,2048,8,8,16,2311541702,112877858,4.883,7.96867,0.912
reordered_tiling_v3_unrolling,4096,8,8,1,17163977064,962268500,5.606,58.6184,1.0
reordered_tiling_v3_unrolling,4096,8,8,2,18245354135,913969619,5.009,60.2391,0.973
reordered_tiling_v3_unrolling,4096,8,8,4,17704861105,860801124,4.862,65.1572,0.9
reordered_tiling_v3_unrolling,4096,8,8,8,17435952018,936869685,5.373,67.02887,0.875
reordered_tiling_v3_unrolling,4096,8,8,16,17418000173,897460935,5.152,64.19353,0.913
