version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time
tiling_v3,2048,2,8,1480909631,214007724,14.451,42.246045
tiling_v3,2048,4,1,1903961697,551769987,28.98,101.318369
tiling_v3,2048,4,2,1355910412,345296303,25.466,61.676708
tiling_v3,2048,4,4,1078819308,242290834,22.459,42.664506
tiling_v3,2048,4,8,2011911934,132298022,6.576,25.7389
tiling_v3,2048,8,1,1624714584,972977024,59.886,67.91507
tiling_v3,2048,8,2,1076249081,522236380,48.524,38.63809
tiling_v3,2048,8,4,2422853511,571741430,23.598,44.82339
tiling_v3,2048,8,8,2278226230,188091360,8.256,19.322251
tiling_v3,2048,16,1,2088810521,1160195557,55.543,54.629911
tiling_v3,2048,16,2,1511830997,600859836,39.744,32.703703
tiling_v3,2048,16,4,2163748584,323818379,14.966,21.789337
tiling_v3,2048,16,8,2487873550,176401685,7.09,16.974789
tiling_v3,2048,2,1/2,3578776228,1236013057,34.537,253.230286
tiling_v3,2048,4,1/2,3007987867,831515551,27.644,151.833651
tiling_v3,2048,8,1/2,2715604268,1770630123,65.202,110.276439
tiling_v3,2048,16,1/2,3779401782,2256247133,59.699,90.042133
tiling_v3,4096,2,1,18821046868,7142970158,37.952,1497.323435
tiling_v3,4096,2,2,14237355494,4672401779,32.818,905.813303
tiling_v3,4096,2,4,12029565174,3429085909,28.505,658.305404
tiling_v3,4096,2,8,10821033415,1753994061,16.209,366.452295
tiling_v3,4096,4,1,14254170589,4414375285,30.969,838.336011
tiling_v3,4096,4,2,9796981757,2778269603,28.358,507.286582
tiling_v3,4096,4,4,7600053115,1940043420,25.527,357.025595
tiling_v3,4096,4,8,15065648237,1067884556,7.088,213.798103
tiling_v3,4096,8,1,11968005026,7788967400,65.082,567.476495
tiling_v3,4096,8,2,7586942628,4187240306,55.19,323.722049
tiling_v3,4096,8,4,18343783779,4589170586,25.018,375.131584
tiling_v3,4096,8,8,17197677083,1515433931,8.812,160.906206
tiling_v3,4096,16,1,15688881578,9294832247,59.245,464.737251
tiling_v3,4096,16,2,11059075759,4802658695,43.427,273.54899
tiling_v3,4096,16,4,16264618081,2588925942,15.918,181.991377
tiling_v3,4096,16,8,18866599661,1420565959,7.53,141.301077
tiling_v3,4096,2,1/2,27647206716,9884723143,35.753,2117.682587
tiling_v3,4096,4,1/2,23032055668,6605325725,28.679,1253.921668
tiling_v3,4096,8,1/2,20698827742,14269685806,68.94,917.079591
tiling_v3,4096,16,1/2,29222980982,18049493950,61.765,771.262382
