version,size,kernel,lmul,l1d-load,l1d-misses,cachemiss-rate,time
tiling_v3,256,2,1,8461962,145297,1.717,0.019326
tiling_v3,256,2,2,7407462,74509,1.006,0.011365
tiling_v3,256,2,4,6878253,50491,0.734,0.010404
tiling_v3,256,2,8,6605902,31276,0.473,0.00697
tiling_v3,256,4,1,7410451,112507,1.518,0.011711
tiling_v3,256,4,2,6348307,37873,0.597,0.006817
tiling_v3,256,4,4,5831543,31038,0.532,0.006252
tiling_v3,256,4,8,7663839,29210,0.381,0.008661
tiling_v3,256,8,1,6881902,74542,1.083,0.008231
tiling_v3,256,8,2,5823436,35975,0.618,0.004908
tiling_v3,256,8,4,8453451,43336,0.513,0.011242
tiling_v3,256,8,8,8190757,32418,0.396,0.010124
tiling_v3,256,16,1,7787937,215681,2.769,0.009321
tiling_v3,256,16,2,6676966,58163,0.871,0.006941
tiling_v3,256,16,4,7971665,48406,0.607,0.010434
tiling_v3,256,16,8,8611300,41105,0.477,0.010452
tiling_v3,256,2,1/2,10566736,250234,2.368,0.028486
tiling_v3,256,4,1/2,9522680,275665,2.895,0.019411
tiling_v3,256,8,1/2,8988528,483481,5.379,0.019051
tiling_v3,256,16,1/2,11082325,430468,3.884,0.016873
tiling_v3,512,2,1,50053675,2091403,4.178,0.392179
tiling_v3,512,2,2,41536442,346736,0.835,0.205248
tiling_v3,512,2,4,37319878,233525,0.626,0.120697
tiling_v3,512,2,8,35211810,149782,0.425,0.072935
tiling_v3,512,4,1,41542153,1121424,2.699,0.225825
tiling_v3,512,4,2,33105291,316235,0.955,0.118001
tiling_v3,512,4,4,28893783,188098,0.651,0.065937
tiling_v3,512,4,8,43621339,195585,0.448,0.071255
tiling_v3,512,8,1,37336097,1385686,3.711,0.188347
tiling_v3,512,8,2,28952479,574526,1.984,0.097056
tiling_v3,512,8,4,49939916,621067,1.244,0.145032
tiling_v3,512,8,8,47846781,182649,0.382,0.083048
tiling_v3,512,16,1,44670686,1319884,2.955,0.143734
tiling_v3,512,16,2,35752262,689216,1.928,0.085684
tiling_v3,512,16,4,45999425,876955,1.906,0.120087
tiling_v3,512,16,8,51128076,775447,1.517,0.102798
tiling_v3,512,2,1/2,66970752,5052841,7.545,0.80563
tiling_v3,512,4,1/2,58386978,2863660,4.905,0.407762
tiling_v3,512,8,1/2,54177624,2593481,4.787,0.312212
tiling_v3,512,16,1/2,70966058,3908010,5.507,0.321522
tiling_v3,1024,2,1,341313539,107499720,31.496,21.632065
tiling_v3,1024,2,2,269937507,55575097,20.588,11.227758
tiling_v3,1024,2,4,234970250,35941992,15.296,7.04288
tiling_v3,1024,2,8,215856624,1501311,0.696,0.817293
tiling_v3,1024,4,1,270396784,61010550,22.563,11.91525
tiling_v3,1024,4,2,201086438,30804762,15.319,6.096186
tiling_v3,1024,4,4,166722444,19718705,11.827,3.897585
tiling_v3,1024,4,8,283097560,2100276,0.742,0.77714
tiling_v3,1024,8,1,234817439,43256979,18.422,7.1229
tiling_v3,1024,8,2,168577525,24478582,14.521,4.090779
tiling_v3,1024,8,4,334814189,25412316,7.59,4.444536
tiling_v3,1024,8,8,316868208,7237068,2.284,1.254626
tiling_v3,1024,16,1,293525881,125461161,42.743,6.437337
tiling_v3,1024,16,2,221202139,63890604,28.883,3.724243
tiling_v3,1024,16,4,303866104,34581564,11.381,2.395509
tiling_v3,1024,16,8,343024896,17041071,4.968,1.096713
tiling_v3,1024,2,1/2,479122709,152989544,31.931,31.582571
tiling_v3,1024,4,1/2,405969304,81228273,20.008,16.249782
tiling_v3,1024,8,1/2,370909031,69259321,18.673,11.165414
tiling_v3,1024,16,1/2,504632680,242673476,48.089,10.447347
tiling_v3,2048,2,1,2468975829,892508144,36.149,181.568381
tiling_v3,2048,2,2,1906564405,583534292,30.607,110.385699
tiling_v3,2048,2,4,1627545133,428384416,26.321,79.633243
